training_start_year,target,station,model,n,mae,rmse,r2,pearson_r,drought_threshold,drought_support,drought_precision,drought_recall,drought_f1,drought_balanced_accuracy,severe_threshold,severe_support,severe_precision,severe_recall,severe_f1,severe_balanced_accuracy
1901,spei6,Padaviya,ridge_ar24_met24,240,0.38786491652530053,0.5300177897354524,0.7456607953552968,0.8653934065402636,-1.0,47,0.9666666666666667,0.6170212765957447,0.7532467532467533,0.8059199647227429,-1.5,21,0.9333333333333333,0.6666666666666666,0.7777777777777778,0.8310502283105022
1901,spei6,Tissamaharama,ridge_ar24_met24,240,0.3075784306181305,0.4180637511025367,0.835017451587736,0.9141837343786112,-1.0,46,0.8157894736842105,0.6739130434782609,0.7380952380952381,0.8189152846257284,-1.5,15,0.7272727272727273,0.5333333333333333,0.6153846153846153,0.76
1951,spei3,Buttala,persistence,240,0.612967004564216,0.806808135129425,0.38000831785905254,0.6885063198107455,-1.0,49,0.5510204081632653,0.5510204081632653,0.5510204081632653,0.7179185810449834,-1.5,12,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6929824561403509
1951,spei3,Padaviya,persistence,240,0.6894102097546256,0.8997521706649555,0.2913116256573207,0.6452240621264512,-1.0,44,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.7634508348794062,-1.5,29,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.7254453342049354
1951,spei3,Tissamaharama,persistence,240,0.6111981459443174,0.8042648917549275,0.38417024297748725,0.6904125274644566,-1.0,52,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.693126022913257,-1.5,13,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.7153507285665877
1951,spei3,Buttala,ridge_ar24,240,0.5140704394924323,0.6497900477104246,0.5978468854927828,0.7733921133849329,-1.0,49,0.8947368421052632,0.3469387755102041,0.5,0.6682337856608612,-1.5,12,0.6,0.25,0.35294117647058826,0.6206140350877193
1951,spei3,Padaviya,ridge_ar24,240,0.6118474968857615,0.7827102090491386,0.46369542816284015,0.6814549596683729,-1.0,44,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.7068645640074211,-1.5,29,0.5714285714285714,0.13793103448275862,0.2222222222222222,0.5618565125020428
1951,spei3,Tissamaharama,ridge_ar24,240,0.4991926223819943,0.6371784503742047,0.6134687537981788,0.783640724452804,-1.0,52,1.0,0.38461538461538464,0.5555555555555556,0.6923076923076923,-1.5,13,0.5,0.15384615384615385,0.23529411764705882,0.5725177905794646
1951,spei6,Buttala,persistence,240,0.42051228074544333,0.562806005119349,0.7022046218777556,0.8499142087547078,-1.0,45,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7948717948717949,-1.5,15,0.6,0.6,0.6,0.7866666666666666
1951,spei6,Padaviya,persistence,240,0.4866337866454876,0.6528981514645305,0.6140568888163567,0.8064270173838002,-1.0,47,0.7021276595744681,0.7021276595744681,0.7021276595744681,0.8147943997354206,-1.5,21,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8434442270058709
1951,spei6,Tissamaharama,persistence,240,0.41297358530924444,0.5573053573833915,0.706816572551812,0.8521874654342115,-1.0,46,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.8117436127297176,-1.5,15,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8222222222222222
1951,spei6,Buttala,ridge_ar24_met24,240,0.3303941537897345,0.4458260716033959,0.813133508347487,0.9031998732429292,-1.0,45,0.8857142857142857,0.6888888888888889,0.775,0.8341880341880341,-1.5,15,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.86
