outer_fold,target,station,model,n,mae,rmse,r2,pearson_r,drought_threshold,drought_support,drought_precision,drought_recall,drought_f1,drought_balanced_accuracy,severe_threshold,severe_support,severe_precision,severe_recall,severe_f1,severe_balanced_accuracy
2005-01_2009-12,spei6,Buttala,ridge_ar24_met24,60,0.33964661533480206,0.4493777961830344,0.7501000268208216,0.8687624966206507,-1.0,8,0.6666666666666666,0.5,0.5714285714285715,0.7307692307692308,-1.5,0,,,,
2005-01_2009-12,spei6,Padaviya,ridge_ar24_met24,60,0.3801571556741968,0.5676040165296883,0.4865277508146524,0.725635814678028,-1.0,4,1.0,0.25,0.4,0.625,-1.5,0,,,,
2005-01_2009-12,spei6,Tissamaharama,ridge_ar24_met24,60,0.3277896847264271,0.45168226158273583,0.772338185544918,0.8809289484623634,-1.0,9,0.75,0.6666666666666666,0.7058823529411765,0.8137254901960784,-1.5,0,,,,
2010-01_2014-12,spei3,Buttala,persistence,60,0.6009235789802513,0.7660137572663495,0.4572675852701915,0.7223531135721898,-1.0,15,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.6444444444444444,-1.5,6,0.5,0.5,0.5,0.7222222222222222
2010-01_2014-12,spei3,Padaviya,persistence,60,0.6435005752648533,0.8186990319570546,0.4014963109409897,0.6986980522491322,-1.0,14,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7670807453416149,-1.5,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.738562091503268
2010-01_2014-12,spei3,Tissamaharama,persistence,60,0.596284147888998,0.7685010205784727,0.45720745618139247,0.722985773707127,-1.0,17,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.6716826265389877,-1.5,8,0.625,0.625,0.625,0.7836538461538461
2010-01_2014-12,spei3,Buttala,ridge_ar24,60,0.49719889127727174,0.6222067956263093,0.6419183039304601,0.8141397255215127,-1.0,15,0.8571428571428571,0.4,0.5454545454545455,0.6888888888888889,-1.5,6,,0.0,,0.5
2010-01_2014-12,spei3,Padaviya,ridge_ar24,60,0.5951153166167561,0.7036802314901363,0.5578506621019634,0.7635145040947029,-1.0,14,1.0,0.42857142857142855,0.6,0.7142857142857143,-1.5,9,,0.0,,0.5
2010-01_2014-12,spei3,Tissamaharama,ridge_ar24,60,0.48289129114823537,0.6100710929619899,0.6579371808917991,0.8234003599731979,-1.0,17,1.0,0.29411764705882354,0.45454545454545453,0.6470588235294118,-1.5,8,,0.0,,0.5
2010-01_2014-12,spei6,Buttala,persistence,60,0.3377775410133163,0.4616291533150992,0.8287777601661955,0.9129530351212342,-1.0,16,0.6875,0.6875,0.6875,0.7869318181818181,-1.5,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9191374663072776
2010-01_2014-12,spei6,Padaviya,persistence,60,0.45612013146622454,0.6411121313694175,0.679155170431244,0.8384658384563187,-1.0,15,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8222222222222222,-1.5,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.869281045751634
2010-01_2014-12,spei6,Tissamaharama,persistence,60,0.33639102008891164,0.4556240788682423,0.8267367231716781,0.9120012078122799,-1.0,16,0.75,0.75,0.75,0.8295454545454546,-1.5,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9191374663072776
2010-01_2014-12,spei6,Buttala,ridge_ar24_met24,60,0.29357237644942763,0.3771424317761845,0.8857162422602286,0.9449053572626528,-1.0,16,0.8333333333333334,0.625,0.7142857142857143,0.7897727272727273,-1.5,7,1.0,0.5714285714285714,0.7272727272727273,0.7857142857142857
2010-01_2014-12,spei6,Padaviya,ridge_ar24_met24,60,0.3825630360441082,0.5229511669719163,0.7865238664875662,0.8907272919993364,-1.0,15,1.0,0.6666666666666666,0.8,0.8333333333333333,-1.5,9,1.0,0.5555555555555556,0.7142857142857143,0.7777777777777778
2010-01_2014-12,spei6,Tissamaharama,ridge_ar24_met24,60,0.28669049354117715,0.3645282775968171,0.8890938484589243,0.9461662166739687,-1.0,16,0.7692307692307693,0.625,0.6896551724137931,0.7784090909090908,-1.5,7,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.8477088948787062
2015-01_2019-12,spei3,Buttala,persistence,60,0.6297182719248792,0.8371080510816605,0.45125276765446076,0.7263413765408674,-1.0,10,0.6,0.6,0.6,0.76,-1.5,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8245614035087718
