"date","cloud_cover","mean_prep","pot_evap","mean_tmp","max_tmp","min_tmp","diurnal_tmp_range","vapour_pressure","wet_day_frq","PET","spei_ 1","spei_ 3","spei_ 6","spei_ 9","spei_ 12"
1908-06-16,71.3,16.2,4,26.2,29.2,23.3,5.9,26.3,5.96,108.10472886997,-1.67797696991525,-1.40392156253754,-0.56157531154894,-0.353448967421008,-0.648459562987531
1908-07-16,72.5,17.4,4,25.9,29.1,22.7,6.4,25.4,6.96,116.339034837181,-1.25106865561541,-1.45029726507013,-1.18819028657022,-0.995684025103092,-0.89733616659288
1908-08-16,72.5,58,4,25.8,29,22.7,6.3,25.2,7.38,118.17977559945,-0.602349409293443,-1.7729992513097,-1.74883049281251,-1.57346139867731,-0.865403282761585
1908-09-16,72.5,100.3,3.8,25.4,28.7,22.1,6.6,25.2,11,116.300521979384,0.0567896860540415,-0.968087922212755,-1.72536513617871,-0.949842200822815,-0.651169267220431
1908-10-16,70,201.1,3.6,25.5,29,22.1,6.9,25.8,11.95,118.646343118154,-0.0105910359605488,-0.301838923864512,-1.3046252155139,-1.17009279102232,-1.09899685225926
1908-11-16,65,116.8,3.3,24.6,28.1,21.2,6.9,25.1,10.46,105.884164686869,-1.71358369519779,-1.24066836601546,-1.98627105064363,-2.07447204050455,-2.22279451974903
1908-12-16,58.8,164.9,3.4,24.2,27.6,20.9,6.7,24.3,7.98,103.133999693066,-0.672432123978578,-1.34626589353412,-1.75265706032809,-2.13832777224633,-1.84685583293588
1909-01-16,50,128.7,4,24,27.9,20.2,7.7,22.7,6.96,112.716942851582,-0.223820775200148,-1.57064695319927,-1.45890181593424,-1.80554105277795,-1.87132653852264
1909-02-15,45,85.2,4.4,24.7,29,20.5,8.5,23.2,6.05,117.029931117426,-0.0517291031911697,-0.699407894597514,-1.30821107131658,-1.78819003774918,-1.98590533581046
1909-03-16,46.3,115.6,4.4,25.4,29.7,21.1,8.6,24.7,5.78,137.842142190343,0.455614559345283,-0.0769715533397387,-1.13700362598195,-1.43821757346582,-1.78893767143412
1909-04-16,57.5,177.7,4,26.4,30.3,22.5,7.8,27.4,11.52,130.851486800463,0.324867505303907,0.236634151551511,-1.11206383311426,-1.12766267902111,-1.51982172627444
1909-05-16,68.8,121.9,3.8,26.1,29.4,22.8,6.6,27,8.26,120.376136273201,0.262855311212307,0.441890302734879,-0.349488229118715,-0.966853208187249,-1.43278855655931
1909-06-16,71.3,65.7,3.9,25.9,28.9,23,5.9,26,8.41,107.368487810696,0.198691857669887,0.279500763283112,0.0107096038859783,-0.986589599320128,-1.26333913394172
1909-07-16,72.5,65.6,4,25.7,28.9,22.5,6.4,25,10.46,115.806590741816,0.166064578098817,0.132381098258371,0.226430562915049,-1.05400010153721,-1.06410807322518
1909-08-16,72.5,239.7,3.9,25.2,28.4,22.1,6.3,24.5,13.47,116.555311330042,1.99405523081844,1.61525401975633,1.30580109786308,0.293491233620021,-0.389281753725002
1909-09-16,72.5,54.8,3.8,25.2,28.5,21.9,6.6,25.1,6.04,115.762093636886,-0.850257344749505,0.940292566759222,0.828904628288868,0.460116089747026,-0.552503158639941
1909-10-16,70,227.1,3.6,25.8,29.3,22.4,6.9,26.2,14.86,119.467425077449,0.340242106978194,1.05696338372892,0.915760968890131,0.783958234310601,-0.496960378411388
1909-11-16,65,138.5,3.4,25.3,28.8,21.9,6.9,26,9.21,107.630193315392,-1.52268545651234,-1.23934084984654,-0.106007497264335,0.0933671005808245,-0.425655455201933
1909-12-16,58.8,255,3.5,24.7,28.1,21.4,6.7,24.9,11.65,104.360325492032,0.189998078036776,-0.571863576122946,-0.036466392257713,0.0209625885049092,-0.102434091739437
1910-01-16,50,123.5,4,24.4,28.3,20.6,7.7,23.4,6.23,113.794285196639,-0.293551727214454,-0.985844901541795,-0.18670055620471,-0.201614047821984,-0.119609251667481
1910-02-15,45,98.8,4.4,24.7,29,20.5,8.5,23.4,6.15,117.029931117426,0.168937859806176,-0.0990136842582647,-0.871750560365283,-0.198508872772308,-0.0578265581542312
1910-03-16,46.3,33,4.4,25.4,29.7,21.1,8.6,24.6,4.03,137.842142190343,-1.12360563249207,-0.589521403542124,-0.887562020796173,-0.441340351592249,-0.373831533162465
1910-04-16,57.5,147.2,4.1,26.3,30.2,22.4,7.8,26.8,10.09,130.555442712679,-0.144168813836508,-0.632579874511393,-1.0975534059,-0.472743659048413,-0.457118761314276
1910-05-16,68.8,35.2,3.8,26.9,30.2,23.6,6.6,28.3,4.89,122.569778847656,-1.32457444081393,-1.5118204058416,-0.870154953720189,-1.36230989723405,-0.779439134577914
1910-06-16,71.3,56.4,3.9,26.1,29.1,23.2,5.9,26.5,8.56,107.859315183545,-0.117736206745098,-0.997420548707576,-1.18246168171573,-1.24487775001506,-0.830756975080773
1910-07-16,72.5,152.8,4,26,29.2,22.8,6.4,25.4,11.39,116.605256884863,1.50426542020057,-0.00911268673587117,-0.589399277825962,-1.0895439545307,-0.498738241199267
1910-08-16,72.5,99,4,25.6,28.8,22.5,6.3,25.1,9.06,117.638287509647,0.315768495590607,1.02489116545849,-0.59579890646614,-0.47283535265782,-1.03393350086664
1910-09-16,72.5,89,3.8,25.4,28.7,22.1,6.6,25.6,7.66,116.300521979384,-0.15117909533411,0.760555860123743,-0.202811884584274,-0.668111984490121,-0.902134250300398
1910-10-16,70,208.7,3.5,25.5,29,22.1,6.9,25.9,12.84,118.646343118154,0.0962322559057173,0.0698828242653497,0.0148341577449453,-0.512327420290037,-1.04193868928549
1910-11-16,65,265.7,3.3,24.6,28.1,21.2,6.9,25.3,11.83,105.884164686869,-0.113874256776449,-0.106229936256045,0.40898049203942,-0.593048161895802,-0.538657805137717
1910-12-16,58.8,245.9,3.3,23.9,27.3,20.6,6.7,24.2,11.08,102.398204213686,0.128423216025038,0.0173662802509597,0.362116124646158,-0.193835388357638,-0.639095168425749
1911-01-16,50,141.8,4,24.3,28.2,20.5,7.7,23.1,8.03,113.524949610375,-0.089357158115624,-0.150857185242378,-0.117484672071394,-0.19131844520855,-0.517961933363391
1911-02-15,45,13.7,4.3,24.5,28.8,20.3,8.5,23.5,2.44,116.479849185029,-1.33508773670171,-0.552541670420681,-0.538561653598157,-0.169374077322613,-0.837616671099938
1911-03-16,46.3,45,4.5,26,30.3,21.7,8.6,25.8,3.96,139.756616387432,-0.9116610350399,-0.97614898640474,-0.678064027283269,-0.331352091366335,-0.751554361378538
1911-04-16,57.5,22.6,4.1,26.8,30.7,22.9,7.8,28,2.54,132.035663151599,-2.07662138894751,-2.20332959326731,-1.35410194823654,-1.19982175160111,-1.17818139118436
1911-05-16,68.8,48,3.8,26.7,30,23.4,6.6,28.1,5.46,122.021368204043,-1.06997298964425,-2.34856934144635,-1.71170146874847,-1.47388359011937,-1.13910040126822
