"date","cloud_cover","mean_prep","pot_evap","mean_tmp","max_tmp","min_tmp","diurnal_tmp_range","vapour_pressure","wet_day_frq","PET","spei1","spei_ 3","spei_ 6","spei_ 9","spei_ 12"
1999-02-15,35.8,134,5,26.9,30.9,23,7.9,26.3,7.83,119.173059217739,1.41847282193423,1.78890891541896,0.769559252165966,0.953417926525087,0.408335950759533
1999-03-16,47.5,43.3,4.9,27.8,31.8,23.8,8,27.4,5.52,140.538559123012,-0.871730214776787,0.64096643836594,0.584496066476871,0.565051134498469,0.488560295261632
1999-04-16,65.1,137.7,4.1,27.8,31.3,24.4,6.9,28.9,9.47,126.923302843281,0.6116575169409,0.680757176216511,1.27287416194208,0.498470891175228,0.821538895888495
1999-05-16,80.3,68.7,3.6,27.4,30.3,24.6,5.7,29.6,8.06,114.883425167552,-0.331540337374941,-0.457202162619794,1.36963357076591,0.487393588184625,0.696477807935369
1999-06-16,65.2,57.9,4.2,27.1,29.9,24.3,5.6,27.8,6.36,106.844589990502,0.188989681840493,0.102337173434118,0.546700765939525,0.530246735221477,0.525651759992349
1999-07-16,71,12.6,4.1,27.8,30.8,24.9,5.9,29.2,6.18,116.201314065928,-1.27563593562907,-0.819096719464604,-0.0279230462753273,0.894405839783099,0.158514311866066
1999-08-16,72.3,44.5,4.3,27.6,30.6,24.7,5.9,28.2,7.3,118.826049613049,-0.561996402693761,-1.06450549143737,-0.986737962743546,1.01017839697523,0.163818226000252
1999-09-16,67.6,133.8,4.4,27.7,30.8,24.7,6.1,28.5,8.69,117.956643268559,1.12543942310012,-0.0563102579708217,-0.0126338636091264,0.400008896444446,0.465784521763279
1999-10-16,71.3,177.6,3.7,27,30.2,23.9,6.3,28.3,12.13,117.713426709096,0.325763195682923,0.642941617373567,-0.00348565315145959,0.308077881904844,1.01745629750453
1999-11-16,62.5,202.2,3.7,27,30.4,23.7,6.7,28.1,13.93,110.907863248151,-0.220030530335456,0.556755725259784,0.010574743759151,-0.31863589926396,1.13113445649704
1999-12-16,61.1,142.6,3.8,26.4,29.8,23,6.8,26.5,10.21,110.012269264125,-0.0781561991283612,-0.0501172339988161,-0.0826480720134707,-0.121975620085169,0.228836190439635
2000-01-16,47.9,163.2,4.4,26.3,30,22.7,7.3,25.8,8.86,116.550580854823,1.06924716039015,0.319583382161143,0.569617312869924,0.149528141460964,0.416669210333949
2000-02-15,38.9,178.8,4.8,26.7,30.5,22.9,7.6,26.8,9.02,116.235371986229,1.96730641195607,1.30772876730967,1.22258667331884,0.902851837319189,0.651145512698662
2000-03-16,47.5,102.3,4.7,27.5,31.4,23.6,7.8,27.6,6.04,137.857742946586,0.622824492077,1.6316715873808,1.06945475788635,0.965780420553202,0.897634265566454
2000-04-16,61,58.5,4.2,28.4,31.9,25,6.9,30.3,9.3,128.591517119424,-1.23945031851352,0.987264157054671,0.734777274062219,0.865033592527763,0.536377204423815
2000-05-16,73,42.2,4,28.6,31.5,25.7,5.8,31.2,8.06,118.831982121474,-1.04718098209743,-1.1094464200259,0.576253659244443,0.708298251622753,0.413819976411982
2000-06-16,73.8,62.4,3.9,27.6,30.3,24.9,5.4,29.6,6.36,106.087670969222,0.375467521481361,-1.29918989963033,0.843023427200224,0.467656846244458,0.429257139202401
2000-07-16,70.9,8.2,4.3,27.9,31,24.9,6.1,28.4,6.18,118.413240864739,-1.61403881901925,-1.3124851434925,-0.0606098936882671,0.133290611895834,0.379745207259826
2000-08-16,77.4,146.8,3.9,27.1,29.9,24.3,5.6,28.1,7.74,114.364732979651,1.75600366656784,0.825899705136997,-0.40301729223915,0.786136686304754,0.870923498496012
2000-09-16,71.3,111.8,4,27.2,30.1,24.3,5.8,28.4,10.59,113.630682957018,0.856145152136773,1.01110125331039,-0.250339779513654,1.15098226464806,0.787325311715609
2000-10-16,64.8,82.9,4,27.4,30.6,24.2,6.4,28.8,11.72,119.56985488268,-1.3147009739629,0.56553702159123,-0.421714046118426,0.227230231182635,0.358104113313893
2000-11-16,63.3,205.9,3.7,27.1,30.5,23.7,6.8,28.2,14.19,111.857030775682,-0.17924392460655,-0.482264059447442,-0.0421277223339142,-0.730036131892775,0.404109843162462
2000-12-16,69.5,109.2,3.5,26.5,29.8,23.3,6.5,27.6,9.96,107.923171650223,-0.569577150046345,-1.03300087104881,-0.392975096816059,-1.05445002004531,0.198024918724028
2001-01-16,50,202.7,4.4,26.4,30.1,22.8,7.3,25.9,5.62,116.814568580429,1.5020075942863,0.405071042745915,0.587635034682962,-0.0188950349877749,0.416420389359092
2001-02-15,34.5,50.7,4.9,26.5,30.4,22.7,7.7,26,4.7,116.603205450825,-0.188212048607435,0.477574595706618,-0.0364250934808974,0.235647857470477,-0.307467211887799
2001-03-16,47.5,16.9,4.7,28.1,31.9,24.3,7.6,29.1,5.52,137.881227824361,-1.52041351257489,0.359928374103872,-0.666697519564571,-0.155426642536207,-0.747800654917334
2001-04-16,63.7,161.1,4,27.8,31.2,24.4,6.8,29.5,11.14,125.862205222305,1.07071182727655,-0.304123103418732,0.121864927958812,0.346707147490655,-0.165827229983112
2001-05-16,76.2,19.4,3.9,28.8,31.7,26,5.7,31.9,8.06,118.437829482128,-1.58582907722068,-1.14089486769225,-0.270303090394665,-0.547352190772216,-0.259867642240199
2001-06-16,69.3,74.1,4.2,27.7,30.5,25,5.5,29.1,7.97,107.419198692415,0.707166684723588,-0.0657538839480168,0.173393334039442,-0.701515759702172,-0.213653542805714
2001-07-16,72.1,34.8,4.3,28.1,31.1,25.1,6,28.8,7.87,117.823674403703,-0.353995838808666,-1.07937523353982,-0.992769598583728,-0.379414895661785,-0.0787480733221877
2001-08-16,76.3,6.2,4.2,27.7,30.6,24.8,5.8,28.4,8.18,117.944354874584,-1.95539256112025,-1.08679869195647,-1.50582386860686,-0.69302750228934,-0.851720796074097
2001-09-16,70.7,69.6,4.1,27.7,30.6,24.8,5.8,29.2,8.69,114.893246100984,-0.053189281302248,-1.28864800994491,-0.936122234438579,-0.496480666127939,-1.07759542526992
2001-10-16,67.1,77.7,3.9,27.6,30.8,24.5,6.3,29.4,12.13,119.288188270422,-1.38769987063687,-2.06060490595541,-2.51982591312503,-1.84288153919817,-1.19692105081585
2001-11-16,63.3,177.7,3.7,27.3,30.6,24,6.6,29.1,13.93,110.690665660408,-0.57930449794871,-1.26590835936742,-1.69751997746888,-1.95204395208797,-1.44440994926237
2001-12-16,65.4,141.9,3.6,26.6,29.9,23.4,6.5,27.9,10.59,108.166515892952,-0.0613281106092942,-1.0290245641797,-1.62820525453011,-1.44931552075415,-1.2645041470483
2002-01-16,49,37.6,4.5,26.8,30.5,23.2,7.3,26.6,5.17,117.870519482851,-1.05591634712709,-0.993890653422283,-1.82230389518311,-1.98114823656065,-2.02693593082067
2002-02-15,37.7,51.7,4.9,27,30.9,23.2,7.7,27.2,5.04,117.917784993675,-0.196621911237932,-0.795643534453726,-1.42182320242718,-1.70944186871899,-1.98010977117041
2002-03-16,47.5,49.4,4.7,28,31.8,24.2,7.6,29.2,5.52,137.5808329925,-0.627651581934156,-1.03111332208968,-1.46988375384662,-1.89873640053201,-1.70955769270158
2002-04-16,58.9,132.2,4.2,28.2,31.6,24.8,6.8,30.1,8.96,126.96625965408,0.497475596865338,-0.272032211302147,-0.942154779517961,-1.63501281080884,-1.87761604684954
2002-05-16,74.8,118.3,3.9,28.4,31.3,25.6,5.7,30.9,8.67,117.422285392249,0.622887822360079,0.221834539798919,-0.50152694110053,-1.14298064793049,-1.42902949199226
2002-06-16,71.4,35.3,4.2,28.3,31.1,25.6,5.5,30.3,7.58,108.834160694949,-0.827233634332395,0.319183369303834,-0.7438224952176,-1.2500604508381,-1.62249052112679
2002-07-16,72.5,20.4,4.3,28.5,31.5,25.5,6,29.5,6.18,118.850460237287,-1.02692957573547,-0.384567423245934,-0.532147164392416,-1.06394453253227,-1.65234627823359
2002-08-16,73.8,58.3,4.2,27.8,30.7,24.9,5.8,28.7,7.74,118.203573236946,-0.0867468493687048,-1.15617673522906,-0.511792648077729,-0.929840773085669,-1.42545273222072
2002-09-16,66.8,34.7,4.4,28.2,31.1,25.3,5.8,29.6,9.41,116.155809244951,-1.12437180718806,-1.2846628615394,-0.631454566987253,-1.25126131698945,-1.59951363142384
2002-10-16,72.4,187.4,3.8,27.3,30.5,24.2,6.3,28.7,12.45,118.500807489759,0.481273121216293,-0.232072284388123,-0.499164121273014,-0.647576108550109,-1.12846646007401
2002-11-16,66.9,233,3.5,26.8,30.1,23.5,6.6,28.3,13.93,109.463496418053,0.251641357650066,0.0646056477015368,-0.536918233190724,-0.396579807038824,-0.85245254643045
2002-12-16,75.6,246.9,3.4,26.3,29.6,23.1,6.5,27.2,10.27,107.436483164766,1.12909290608199,0.93970332765324,0.387063719807884,0.407414275725233,-0.23706673163203
2003-01-16,51.3,107.5,4.4,26.4,30.1,22.8,7.3,26,5.51,116.814568580429,0.25692051814434,0.933930927516128,0.621501470471664,0.360187304699627,0.194502662679999
2003-02-15,46.3,67.9,4.8,27.1,31,23.3,7.7,26.9,5.61,118.180700902245,0.210091134368744,0.920218620881752,0.646205608370935,0.256596767198409,0.273785142747591
2003-03-16,42.5,105.6,4.8,27.7,31.5,23.9,7.6,28.6,5.52,136.679648496916,0.710222723020945,0.45551741053125,0.991759121186447,0.525237627812522,0.537849135157889
2003-04-16,57.3,78.3,4.3,28.2,31.6,24.8,6.8,30.2,9.8,126.96625965408,-0.741748656222286,-0.0258649702110359,0.712613402754183,0.490743344522806,0.28979732874697
2003-05-16,70,90.6,4.1,28.4,31.3,25.6,5.7,30.6,9.08,117.422285392249,0.0912815388219875,-0.104192397472992,0.661331913656205,0.502480772445402,0.176675056890154
2003-06-16,71,51.8,4.2,28.4,31.2,25.7,5.5,30.2,6.57,109.069987695372,-0.130963762469965,-0.544853356897354,-0.0493690311175147,0.688657871324426,0.248716224120886
2003-07-16,72.5,70,4.2,28,31,25,6,28.9,7.02,117.566977945308,0.769337808377238,0.212313540199502,0.0588764220966706,0.691753274228679,0.482178017504764
2003-08-16,61.5,43.3,4.5,27.8,30.7,24.9,5.8,28.9,7.74,118.203573236946,-0.581971118245436,-0.177625442638677,-0.216826947133997,0.528515320132036,0.413814760194159
2003-09-16,71.6,78.5,4.1,27.9,30.8,25,5.8,29.5,8.96,115.398271358571,0.154497734385817,-0.0155966164085549,-0.476517177978929,-0.0812451408541874,0.617489204567352
2003-10-16,70.2,103.7,3.8,27.6,30.8,24.5,6.3,29.3,11.97,119.288188270422,-0.986387436303044,-1.00502776862173,-0.673857635049978,-0.61959988592596,0.219270340149463
2003-11-16,65.6,332.8,3.6,26.7,30,23.4,6.6,27.9,17.4,109.218062569582,1.47529746745369,0.589664005085042,0.432152082452107,0.248290366045176,0.766049661521943
2003-12-16,31.3,10.6,4.4,26.9,30.2,23.7,6.5,28.3,10.27,108.896548621138,-2.45734862499216,-0.628351921928849,-0.609614942011027,-0.876650013327902,-0.626692477935681
2004-01-16,50.6,24.7,4.5,27,30.7,23.4,7.3,26.9,5.05,118.398494934062,-1.31278609836756,-0.895212073619065,-1.23662606563514,-1.05919182500349,-1.05971755159624
2004-02-15,46.3,65.6,4.7,26.9,30.8,23.1,7.7,27,5.09,117.654869085105,0.166912902616587,-2.14000526804647,-1.03208848118747,-1.05482166584696,-1.04895935783233
2004-03-16,41.7,26.7,4.9,27.9,31.7,24.1,7.6,28.9,5.87,137.280438160639,-1.2356176595776,-1.26188368338357,-1.30259667229314,-1.26408881473592,-1.37426556304973
2004-04-16,56.9,110,4.3,28.4,31.8,25,6.8,30.4,9.13,127.518286869967,-0.00539067740183854,-0.671526013620407,-1.07085169915054,-1.35633558963172,-1.22856205764342
2004-05-16,70.7,166.9,3.8,27.3,30.2,24.5,5.7,29.5,11.46,114.629539145082,1.37181990976838,0.302908137892266,-1.41355391726253,-0.777999264063959,-0.808661882643997
